abonere abonnere
absorbtion absorption
accelleration acceleration
accellerere accelerere
accellererede accelererede
addresse adresse
adlen adelen
administation administration
afganistan afghanistan
afsted af sted
agressiv aggressiv
akkomodation akkommodation
akkomodere akkommodere
akvarie akvarium
allesammen alle sammen
altsammen alt sammen
anderkendt anerkendt
anerledes anderledes
anmasende anmassende
antageligvis antagelig
antecipere anticipere
appelere appellere
appeninerne appenninerne
apperat apparat
apperater apparater
apperatet apparatet
applomb aplomb
apropro apropos
artikelen artiklen
artikeler artikler
auditorie auditorium
autencitet autenticitet
autoisation autorisation
autorisasion autorisation
babyloner babylonier
barrak barak
bekræftige bekræfte
betegning betegnelse
beuf boeuf or bøf
biblotek bibliotek
billed billede
blæreudslet blæreudslæt
bogtriologi bogtrilogi
bolche bolsje
bolcher bolsjer
bolcherne bolsjerne
bolchernes bolsjernes
bolchers bolsjers
bolches bolsjes
bolchet bolsjet
bolchets bolsjets
bolsche bolsje
bolscher bolsjer
bolscherne bolsjerne
bolschernes bolsjernes
bolschers bolsjers
bolsches bolsjes
bolschet bolsjet
bolschets bolsjes
bonusen bonussen
bonusens bonussens
bonuser bonusser
bonuserne bonusserne
bonusernes bonussernes
bonusers bonussers
borgerdydsskole borgerdydskole
bourgoisi bourgeoisi
bourgoisie bourgeoisi
bourgoisiet bourgeoisiet
box boks
bronce bronze
brædt bræt
budet buddet
budets buddets
bærene bærrene
bødel bøddel
cannada canada
canser cancer or kræft
caraibien caribien
catamaran katamaran
celcius celsius
cencur censur
centaur kentaur
check tjek
checke tjekke
chlorofyl klorofyl
chock chok
cosmodrom kosmodrom
cosmodromen kosmodromen
danebrog dannebrog
danere daner
delegat delegeret
densitet massefylde
diamentral diametral
diamentrale diametrale
diamentralt diametralt
diciplin disciplin
dicipliner discipliner
dilerium delirium
dilletant dilettant
dimision dimission or dimension
dimisioner dimissioner or dimensioner
diskution diskussion
dongeon dungeon
dongeons dungeons
downlad download
efterkommerer efterkommere
ekvivalent ækvivalent
elektricere elektrisere or elektrificere
elekttronisk elektronisk
embalage emballage
embalere emballere
engang en gang
enlig egentlig
erimitage eremitage
erimitagen eremitagen
ethiopien etiopien
ethiopier etiopier
ethiopiere etiopiere
ethiopieren etiopieren
ethiopisk etiopisk
evangelie evangelium
excl ekskl
experiment eksperiment
experimentere eksperimentere
experimenterede eksperimenterede
experimenterer eksperimenterer
export eksport
extrem ekstrem
extreme ekstreme
extremt ekstremt
faderen faren
fagterm fagudtryk
faldbyde falbyde
faldgrubbe faldgrube
faldgruppe faldgrube
fibere fibre
filipinsk filippinsk
filosofen filosoffen
filosofer filosoffer
financiere finansiere
financierede finansierede
financierer finansierer
financieret finansieret
flamengo flamenco or flamingo
florens firenze
florentz firenze or florens
folketinget folketinget
forbudet forbuddet
foregrener forgrener
forgodtbefindene forgodtbefindende
forlængst for længst
formandsskab formandskab  
fornæmme fornemme
fornæmmer fornemmer
forpubbe forpuppe
forummer fora
frederikstaden frederiksstaden
fredslutning fredsslutningfor
fredslutningen fredsslutningen
fredsløs fredløs
fredsløse fredløse
fremfor frem for
friluftsmuseer frilandsmuseer
friluftsmuseet frilandsmuseet
friluftsmuseum frilandsmuseum
frådse fråse
fugleredder fuglereder
fårnavn fornavn
fælleskab fællesskab
garnision garnison
garone garonne
generalogi genealogi
genere generere
geschæft gesjæft
gjordt gjort
gletcher gletsjer
gletscher gletsjer
glücksburgske glücksborgske
gramatik grammatik
greenwitch greenwich
grønsværet grønsværen
guiness guinness
guiseppe giuseppe
gulsmed guldsmed
gulsmede guldsmede
gulsmeden guldsmeden
gurilla gorilla or guerilla
gurillaen gorillaen or guerillaen
gymnasie gymnasium
harcellere harcelere
hensynløs hensynsløs
henved hen ved
herotisk heroisk or erotisk
hertig hertug
hieraki hierarki
histografi historiografi
hjortvildt hjortevildt
holdte holdt
hovede hoved
hovedsaglig hovedsagelig
hududslet hududslæt or udslæt
hæftig heftig
hæftige heftige
ialt i alt
idag i dag
igang i gang
igår i går
ihvertfald i hvert fald
illiaden iliaden
illyriansk illyrisk
illyrianske illyriske
imorgen i morgen
imperie imperium
incl inkl
indcheckning indtjekning
indeholdte indeholdt
insitutioner institutioner
intererseret interesseret
interesant interessant
interese interesse
intereseret interesseret
interessentselskab interessentskab
interplanetar interplanetarisk
interplanetart interplanetarisk
interrese interesse
interressant interessant
iriterende irriterende
irriterrende irriterende
irterende irriterende
istand i stand
istedet i stedet
iøvrigt i øvrigt
jagterminilogi jagtterminologi
jagterminoligi jagtterminologi
jagterminologi jagtterminologi
jagtterminilogi jagtterminologi
jagtterminoligi jagtterminologi
jobs job
johanitterordenen johanniterordenen
jorskælv jordskælv
jvf jf
kalendre kalendere
kanada canada
kanadisk canadisk
kanadiske canadiske
kastanie kastanje
kemikalium kemikalie
kenetegnet kendetegnet
